No,Student ID,First name,Last name,Gender,Date of Birth,Social ID
1,20125001,Dang Khoa,Nguyen Vu,Male,17/06/2002,878123878
2,20125002,Bao Loi,Tran,Female,2/11/2002,125545125
3,20125003,Duc Manh,Nguyen,Male,1/6/2002,548778871
4,20125004,Viet Hoang,Pham,Female,2/3/2002,324687497
5,20125005,Hoang Chau,Luong,Male,4/3/2002,343233784
6,20125006,Hoang Phi,Le Van,Female,7/2/2002,578778542
7,20125007,Thien Tri,Luong,Male,6/7/2002,321321321
8,20125008,Hoang Khang,Nguyen,Female,15/2/2002,879845321
9,20125009,J,Nguyen,Female,2/4/2002,132687434
10,20125010,K,Nguyen,Female,14/8/2002,324768543
